"videogamesLabel","aspectRatio","frequentlyUpdated","gameArtistLabel","gameEngineLabel","latestPreviewDate","latestPreviewVersion","latestReleaseDate","latestReleaseVersion","operatingSystemLabel","programmingLanguageLabel"
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yooka-Laylee",,,"Yooka-Laylee","Yooka-Laylee",,,,,,
"Yoomurjak's Ring",,,,,,,,,,
"Yoostar",,,,,,,,,,
"Yoot Tower",,,,,,,,,,
"Yorkshire and Humber Route Utilisation Strategy",,,,,,,,,,
"Yoshi's Cookie",,,,,,,,,,
"Yoshi's Island",,,,,,,,,,
"Yoshi's Island DS",,,,,,,,,,
"Yoshi's New Island",,,,,,,,,,
"Yoshi's Safari",,,,,,,,,,
"Yoshi's Story",,,,,,,,,,
"Yoshi's Universal Gravitation",,,,,,,,,,
"Yoshi's Woolly World",,,,,,,,,,
"Yoshi (video game)",,,,,,,,,,
"Yoshi Touch & Go",,,,,,,,,,
"Yoshida Doctrine",,,,,,,,,,
"Yoshitsune Eiyūden: The Story of Hero Yoshitsune",,,,,,,,,,
"Yosumin!",,,,,,,,,,
"Yoté",,,,,,,,,,
"You're Bluffing",,,,,,,,,,
"You're in the Movies",,,,,,,,,,
"You Are Empty",,,,,,,,,,
"You Don't Know Jack (2011 video game)",,,,,,,,,,
"You Don't Know Jack (Facebook game)",,,,,,,,,,
"You Don't Know Jack (video game series)",,,,,,,,,,
"You Have Been Watching",,,,,,,,,,
"You Have to Burn the Rope",,,,,,,,,,
