videogames,videogamesLabel,developerLabel,publisherLabel,designedByLabel,composerLabel
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,Atari,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,Atari,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,Atari,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,3D Realms,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,3D Realms,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,3D Realms,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,3D Realms,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Interplay Entertainment,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,Interplay Entertainment,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,Interplay Entertainment,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,Interplay Entertainment,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Bethesda Softworks,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,Bethesda Softworks,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,Bethesda Softworks,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,Bethesda Softworks,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,BAM! Entertainment,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,BAM! Entertainment,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,BAM! Entertainment,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,BAM! Entertainment,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Apogee Software,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Valve Corporation,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,Valve Corporation,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,Valve Corporation,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,Valve Corporation,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Activision Publishing,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,Activision Publishing,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,Activision Publishing,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,Activision Publishing,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,id Software,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,id Software,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,id Software,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,id Software,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Atari,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,Atari,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,Atari,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,Atari,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,3D Realms,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,3D Realms,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,3D Realms,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,3D Realms,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Interplay Entertainment,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,Interplay Entertainment,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,Interplay Entertainment,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,Interplay Entertainment,Tom Hall,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Bethesda Softworks,Tom Hall,Robert Prince
