videogames,videogamesLabel,fictionalUniverseLabel,followsLabel,followedByLabel,basedOnLabel
http://www.wikidata.org/entity/Q73289,Q73289,,,,
http://www.wikidata.org/entity/Q71910,Tetris,,,,
http://www.wikidata.org/entity/Q76763,CityVille 2,,,,
http://www.wikidata.org/entity/Q54870,Star Wars Battlefront: Elite Squadron,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55217,Star Wars Episode I: Racer,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55298,Star Wars Jedi Knight II: Jedi Outcast,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q60102,Fallout,,,Fallout 2,
http://www.wikidata.org/entity/Q76255,Call of Duty 4: Modern Warfare,,,Call of Duty: World at War,
http://www.wikidata.org/entity/Q55313,Star Wars: X-Wing Alliance,Star Wars expanded to other media,Star Wars: X-Wing vs. TIE Fighter - Balance of Power,Q29649985,
http://www.wikidata.org/entity/Q74545,Lego Batman: The Videogame,,,,
http://www.wikidata.org/entity/Q54864,Star Wars Battlefront: Renegade Squadron,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55254,Star Wars: Force Commander,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q74245,GetAmped,,,,
http://www.wikidata.org/entity/Q76794,CityVille,,,,
http://www.wikidata.org/entity/Q55248,Star Wars Trilogy Arcade,Star Wars expanded to other media,Star Wars Arcade,Star Wars: Racer Arcade,
http://www.wikidata.org/entity/Q80402,FishVille,,,,
http://www.wikidata.org/entity/Q77596,Picopict,,,,
http://www.wikidata.org/entity/Q55535,1943: The Battle of Midway,,1942,,
http://www.wikidata.org/entity/Q71936,Wii Sports,,,Wii Sports Resort,
http://www.wikidata.org/entity/Q57270,BioShock,,,BioShock 2,
http://www.wikidata.org/entity/Q55315,Star Wars: Empire at War,Star Wars expanded to other media,,,Star Wars
http://www.wikidata.org/entity/Q81288,Dragon Quest III,,,,
http://www.wikidata.org/entity/Q55532,1942,,,1943: The Battle of Midway,
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55232,Star Wars: The Clone Wars (2002 video game),Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55538,007: Licence to Kill,,,,Licence to Kill
http://www.wikidata.org/entity/Q81777,Panzer Dragoon Saga,,Panzer Dragoon Mini,Panzer Dragoon Orta,
http://www.wikidata.org/entity/Q55223,Star Wars: Racer Arcade,Star Wars expanded to other media,Star Wars Trilogy Arcade,Star Wars: Starfighter,
http://www.wikidata.org/entity/Q55312,Star Wars: TIE Fighter,Star Wars expanded to other media,Star Wars: X-Wing – Special Edition,Q29646683,
http://www.wikidata.org/entity/Q55611,Army Moves,,,Arctic Moves,
http://www.wikidata.org/entity/Q55263,Star Wars: Shadows of the Empire (video game),Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55295,Star Wars Jedi Knight: Jedi Academy,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55253,Star Wars: Flight of the Falcon,,,,
http://www.wikidata.org/entity/Q55537,180,,,,
http://www.wikidata.org/entity/Q55670,Quazatron,,,,
http://www.wikidata.org/entity/Q55817,Alchemist,,,,
http://www.wikidata.org/entity/Q57631,Angler,,,,
http://www.wikidata.org/entity/Q55534,Cyclone,,,,
http://www.wikidata.org/entity/Q55676,Sherlock,,,,
http://www.wikidata.org/entity/Q55616,Battlezone,,,,
http://www.wikidata.org/entity/Q55815,Elite,,,,
http://www.wikidata.org/entity/Q74061,Star Wars: Rebel Assault II: The Hidden Empire,Star Wars expanded to other media,Star Wars: Rebel Assault,,
http://www.wikidata.org/entity/Q55610,Athena,,,,
http://www.wikidata.org/entity/Q55533,Saboteur II: Avenging Angel,,Saboteur,,
http://www.wikidata.org/entity/Q54865,Star Wars: Battlefront II (2005 video game),Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55287,Star Wars: Dark Forces,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55563,3D Knockout,,,,
http://www.wikidata.org/entity/Q55668,Nether Earth,,,,
http://www.wikidata.org/entity/Q56879,Syobon Action,,,,
http://www.wikidata.org/entity/Q57639,Avalon The 3D Adventure Movie,,,,
http://www.wikidata.org/entity/Q57622,All or Nothing,,,,
http://www.wikidata.org/entity/Q55675,The Trap Door,,,,
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game,Star Wars expanded to other media,,Lego Star Wars II: The Original Trilogy,Star Wars: Episode I – The Phantom Menace
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game,Star Wars expanded to other media,,Lego Star Wars II: The Original Trilogy,Star Wars: Episode II – Attack of the Clones
http://www.wikidata.org/entity/Q71932,Call of Duty: Black Ops: Declassified,,,Call of Duty: Strike Team,
http://www.wikidata.org/entity/Q55622,Bionic Commando,,,,
http://www.wikidata.org/entity/Q55620,Bionic Commando,,,,
http://www.wikidata.org/entity/Q55228,Lego Star Wars III: The Clone Wars,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55237,Star Wars: Republic Commando: Order 66,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55251,Star Wars: Behind the Magic,Star Wars expanded to other media,,,
