videogames,videogamesLabel,gameModeLabel
http://www.wikidata.org/entity/Q2450,Heroes of Might and Magic V,single-player video game
http://www.wikidata.org/entity/Q4104,Need for Speed: Shift,single-player video game
http://www.wikidata.org/entity/Q44462,Animal Crossing: New Leaf,single-player video game
http://www.wikidata.org/entity/Q20420,Empire Earth,multiplayer video game
http://www.wikidata.org/entity/Q24076,FinnWars,multiplayer video game
http://www.wikidata.org/entity/Q28418,Cossacks: European Wars,multiplayer video game
http://www.wikidata.org/entity/Q31685,Spore Hero Arena,multiplayer video game
http://www.wikidata.org/entity/Q34852,Age of Empires II,multiplayer video game
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,multiplayer video game
http://www.wikidata.org/entity/Q28258,Restricted Area,single-player video game
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,two-player video game
http://www.wikidata.org/entity/Q2440,Freedom Force vs the 3rd Reich,multiplayer video game
http://www.wikidata.org/entity/Q17146,Uncharted 2: Among Thieves,multiplayer video game
http://www.wikidata.org/entity/Q17724,Spectromancer,multiplayer video game
http://www.wikidata.org/entity/Q24071,MotorStorm: Arctic Edge,multiplayer video game
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,single-player video game
http://www.wikidata.org/entity/Q12395,The Legend of Zelda,single-player video game
http://www.wikidata.org/entity/Q34920,Age of Empires Online,multiplayer video game
http://www.wikidata.org/entity/Q20420,Empire Earth,single-player video game
http://www.wikidata.org/entity/Q28418,Cossacks: European Wars,single-player video game
http://www.wikidata.org/entity/Q31685,Spore Hero Arena,single-player video game
http://www.wikidata.org/entity/Q34852,Age of Empires II,single-player video game
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,single-player video game
http://www.wikidata.org/entity/Q44896,Stronghold,single-player video game
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,cooperative gameplay
http://www.wikidata.org/entity/Q12384,Donkey Kong,multiplayer video game
http://www.wikidata.org/entity/Q19433,"Grand Theft Auto: London, 1961",multiplayer video game
http://www.wikidata.org/entity/Q24516,Fire Emblem: New Mystery of the Emblem,multiplayer video game
http://www.wikidata.org/entity/Q26097,XCOM: Enemy Unknown,multiplayer video game
http://www.wikidata.org/entity/Q28226,Army Men: RTS,multiplayer video game
http://www.wikidata.org/entity/Q44373,Nintendo Land,multiplayer video game
http://www.wikidata.org/entity/Q2374,Civilization III,multiplayer video game
http://www.wikidata.org/entity/Q2385,Civilization V,multiplayer video game
http://www.wikidata.org/entity/Q17138,Uncharted 3: Drake's Deception,multiplayer video game
http://www.wikidata.org/entity/Q2440,Freedom Force vs the 3rd Reich,single-player video game
http://www.wikidata.org/entity/Q5766,VVVVVV,single-player video game
http://www.wikidata.org/entity/Q28362,Cossacks II: Napoleonic Wars,multiplayer video game
http://www.wikidata.org/entity/Q13165,Death to Spies,single-player video game
http://www.wikidata.org/entity/Q13699,Stronghold: Crusader Extreme,single-player video game
http://www.wikidata.org/entity/Q17146,Uncharted 2: Among Thieves,single-player video game
http://www.wikidata.org/entity/Q17724,Spectromancer,single-player video game
http://www.wikidata.org/entity/Q24071,MotorStorm: Arctic Edge,single-player video game
http://www.wikidata.org/entity/Q24300,InFamous 2,single-player video game
http://www.wikidata.org/entity/Q5766,VVVVVV,cooperative gameplay
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,multiplayer video game
http://www.wikidata.org/entity/Q12384,Donkey Kong,single-player video game
http://www.wikidata.org/entity/Q19433,"Grand Theft Auto: London, 1961",single-player video game
http://www.wikidata.org/entity/Q24516,Fire Emblem: New Mystery of the Emblem,single-player video game
