"videogamesLabel","aspectRatio","frequentlyUpdated","gameArtistLabel","gameEngineLabel","latestPreviewDate","latestPreviewVersion","latestReleaseDate","latestReleaseVersion","operatingSystemLabel","programmingLanguageLabel","resolution"
"Half-Life (video game)",,,,"Half-Life (video game)",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune (video game)",,,,,,,
"Star Wars Jedi Knight II: Jedi Outcast",,,,"Star Wars Jedi Knight II: Jedi Outcast",,,,,,,
"Suspended",,,,"Suspended",,,,,,,
"Final Fantasy Adventure",,,"Final Fantasy Adventure",,,,,,,,
"Final Fantasy II",,,"Final Fantasy II",,,,,,,,
"Final Fantasy IV",,,"Final Fantasy IV",,,,,,,,
"Final Fantasy Tactics",,,"Final Fantasy Tactics",,,,,,,,
"Final Fantasy V",,,"Final Fantasy V",,,,,,,,
"Final Fantasy VI",,,"Final Fantasy VI",,,,,,,,
"Final Fantasy VII",,,"Final Fantasy VII",,,,,,,,
"Final Fantasy VIII",,,"Final Fantasy VIII",,,,,,,,
"Final Fantasy X",,,"Final Fantasy X",,,,,,,,
"The Final Fantasy Legend",,,"The Final Fantasy Legend",,,,,,,,
"Finnish skittles",,,,,,,,,,,
"3DO Interactive Multiplayer",,,,,,,,,,,
"5.56×45mm NATO",,,,,,,,,,,
"500 (card game)",,,,,,,,,,,
"Ars Magica",,,,,,,,,,,
"Baccarat (card game)",,,,,,,,,,,
"Barber paradox",,,,,,,,,,,
"Bud",,,,,,,,,,,
"Commander Keen",,,,,,,,,,,
"Dr. Mario",,,,,,,,,,,
"Fanorona",,,,,,,,,,,
"Fictionary",,,,,,,,,,,
"Final Fantasy Chronicles",,,,,,,,,,,
"Final Fantasy IX",,,,,,,,,,,
"Final Fantasy Mystic Quest",,,,,,,,,,,
"FreeCell",,,,,,,,,,,
"GameCube",,,,,,,,,,,
"Game of chance",,,,,,,,,,,
"Gin rummy",,,,,,,,,,,
"Hide-and-seek",,,,,,,,,,,
"Kill Doctor Lucky",,,,,,,,,,,
"Kiss",,,,,,,,,,,
"Klondike (solitaire)",,,,,,,,,,,
"Kuru Kuru Kururin",,,,,,,,,,,
"Let It Ride (card game)",,,,,,,,,,,
"List of chess variants",,,,,,,,,,,
"Locost",,,,,,,,,,,
"Luge",,,,,,,,,,,
"MIDI Maze",,,,,,,,,,,
"Mario Kart: Super Circuit",,,,,,,,,,,
"Mornington Crescent (game)",,,,,,,,,,,
"Pachinko",,,,,,,,,,,
"Peg solitaire",,,,,,,,,,,
"Quiz bowl",,,,,,,,,,,
"Radiant Silvergun",,,,,,,,,,,
"Red dog (card game)",,,,,,,,,,,
"Risk (game)",,,,,,,,,,,
"Rolemaster",,,,,,,,,,,
"Russian roulette",,,,,,,,,,,
"SameGame",,,,,,,,,,,
"Scotland Yard (board game)",,,,,,,,,,,
"Sega CD",,,,,,,,,,,
"Set (game)",,,,,,,,,,,
"Shiritori",,,,,,,,,,,
"SimCity (1989 video game)",,,,,,,,,,,
"Six Degrees of Kevin Bacon",,,,,,,,,,,
"Snakes and Ladders",,,,,,,,,,,
"Sokoban",,,,,,,,,,,
"Soma cube",,,,,,,,,,,
"Spellevator",,,,,,,,,,,
"Storytelling game",,,,,,,,,,,
"Strategic bombing",,,,,,,,,,,
"Stratego",,,,,,,,,,,
"Strategy game",,,,,,,,,,,
"Super Bowl III",,,,,,,,,,,
"Super Bowl IX",,,,,,,,,,,
"Super Bowl V",,,,,,,,,,,
"Super Bowl VI",,,,,,,,,,,
"Super Bowl VII",,,,,,,,,,,
"Super Bowl VIII",,,,,,,,,,,
"Super Bowl X",,,,,,,,,,,
"Super Bowl XI",,,,,,,,,,,
"Super Bowl XII",,,,,,,,,,,
"Super Bowl XIII",,,,,,,,,,,
"Super Bowl XIV",,,,,,,,,,,
"Super Bowl XIX",,,,,,,,,,,
"Super Bowl XV",,,,,,,,,,,
"Super Bowl XVI",,,,,,,,,,,
"Super Bowl XVII",,,,,,,,,,,
"Super Bowl XVIII",,,,,,,,,,,
"Super Bowl XX",,,,,,,,,,,
"Super Bowl XXI",,,,,,,,,,,
"Super Bowl XXII",,,,,,,,,,,
"Super Bowl XXIII",,,,,,,,,,,
"Super Bowl XXIV",,,,,,,,,,,
"Super Bowl XXIX",,,,,,,,,,,
"Super Bowl XXV",,,,,,,,,,,
"Super Bowl XXVI",,,,,,,,,,,
"Super Bowl XXVII",,,,,,,,,,,
"Super Bowl XXVIII",,,,,,,,,,,
"Super Bowl XXX",,,,,,,,,,,
"Super Bowl XXXI",,,,,,,,,,,
"Super Bowl XXXII",,,,,,,,,,,
"Super Bowl XXXIII",,,,,,,,,,,
"Super Bowl XXXIV",,,,,,,,,,,
"Super Bowl XXXV",,,,,,,,,,,
"Super Bowl XXXVI",,,,,,,,,,,
"Superworld",,,,,,,,,,,
"System Shock",,,,,,,,,,,
"TWERPS",,,,,,,,,,,
"TacTix",,,,,,,,,,,
"Tangloids",,,,,,,,,,,
"Tangram",,,,,,,,,,,
"Tarocchini",,,,,,,,,,,
"Tarot",,,,,,,,,,,
"Tetris",,,,,,,,,,,
"The Dozens",,,,,,,,,,,
"The Fantasy Trip",,,,,,,,,,,
"The Sims (video game)",,,,,,,,,,,
