"videogamesLabel","aspectRatio","frequentlyUpdated","gameArtistLabel","gameEngineLabel","latestPreviewDate","latestPreviewVersion","latestReleaseDate","latestReleaseVersion","operatingSystemLabel","programmingLanguageLabel","resolution"
"Half-Life (video game)",,,,"Half-Life (video game)",,,,,,,
"Half-Life (video game)",,,,"هاف-لايف (لعبة فيديو)",,,,,,,
"Half-Life (video game)",,,,"Half-Life",,,,,,,
"Half-Life (video game)",,,,"Half-Life",,,,,,,
"Half-Life (video game)",,,,"Half-Life",,,,,,,
"Half-Life (video game)",,,,"Half-Life",,,,,,,
"Half-Life (video game)",,,,"ハーフライフ (ゲーム)",,,,,,,
"Half-Life (video game)",,,,"Half-Life (computerspel)",,,,,,,
"Half-Life (video game)",,,,"Half-Life",,,,,,,
"Half-Life (video game)",,,,"Half-Life",,,,,,,
"Half-Life (video game)",,,,"Half-Life",,,,,,,
"Half-Life (video game)",,,,"半条命",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune (video game)",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune (jeu vidéo)",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune (videogioco)",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune Platinum",,,,,,,
"Soldier of Fortune (video game)",,,,"Soldier of Fortune (игра)",,,,,,,
"Soldier of Fortune (video game)",,,,"命运战士",,,,,,,
"Star Wars Jedi Knight II: Jedi Outcast",,,,"Star Wars Jedi Knight II: Jedi Outcast",,,,,,,
"Star Wars Jedi Knight II: Jedi Outcast",,,,"Star Wars Jedi Knight II: Jedi Outcast",,,,,,,
"Star Wars Jedi Knight II: Jedi Outcast",,,,"Star Wars Jedi Knight II: Jedi Outcast",,,,,,,
"Star Wars Jedi Knight II: Jedi Outcast",,,,"Star Wars Jedi Knight II: Jedi Outcast",,,,,,,
"Star Wars Jedi Knight II: Jedi Outcast",,,,"Star Wars: Jedi Knight II: Jedi Outcast",,,,,,,
"Star Wars Jedi Knight II: Jedi Outcast",,,,"Star Wars Jedi Knight II: Jedi Outcast",,,,,,,
"Star Wars Jedi Knight II: Jedi Outcast",,,,"Star Wars Jedi Knight II: Jedi Outcast",,,,,,,
"Star Wars Jedi Knight II: Jedi Outcast",,,,"Star Wars Jedi Knight II: Jedi Outcast",,,,,,,
"Suspended",,,,"Suspended",,,,,,,
"Suspended",,,,"Suspended",,,,,,,
