,0
0,Stan Lee's Verticus
1,Nam (1986 video game)
2,Socrates Jones: Pro Philosopher
3,Virtua Tennis Challenge
4,The War of Genesis III
5,The Tick
6,Soldier of Fortune: Payback
7,A Kingdom for Keflings
8,Dig Dug Island
9,.hack//G.U. Vol. 2//Reminisce
10,The Cheetah Girls: Passport to Stardom
11,StaudSoft's Synthetic World
12,Gangland
13,Frank Herbert's Dune
14,Paul Whitehead Teaches Chess
15,Magical Halloween
16,Treasure Galaxy!
17,Flunkerne: På Månen
18,Outcry
19,Manhunt 2
20,Jankenman
21,Mother 3
22,The Haunted Mansion
23,World Snooker Championship 2007
24,Hoshiful
25,Civilization: Call to Power
26,Hammer Boy
27,Deer Hunter 2004
28,Lego Batman 2: DC Super Heroes
29,Berusky
30,Kyn
31,ROD: Revolt of Defense
32,MechWarrior: Dark Age (novels)
33,NCAA GameBreaker 2001
34,Hands On! Tangrams
35,Liberation Maiden SIN
36,Phone Story
37,Michael Schumacher Racing World Kart 2002
38,Arabian
39,AdventureQuest Worlds
40,XAOC
41,Paratopic
42,Smugglers V
43,Mini Metro
44,Lips
45,Castrol Honda Superbike Racing
46,Star Wars: Trials on Tatooine
47,The Entrepreneur
48,Gunship
49,The Hidden
50,King of the Monsters
51,Absolute Pinball
52,EF2000
53,Rallycross Simulator
54,Castlevania: Lament of Innocence
55,Pitball
56,Tak and the Power of Juju
57,Monster Jam: Path of Destruction
58,Diablo: Hellfire
59,Bravely Archive: D's Report
60,Cafe Little Wish
61,Pneuma: Breath of Life
62,Ultra Golf
63,Everybody's Golf 2
64,Dark Chronicle
65,Rocket Knight
66,Treadnauts
67,Night Mission Pinball
68,Dengeki Gakuen RPG: Cross of Venus
69,Märchen Maze
70,Roguemance
71,Game of Thrones Conquest
72,Sherlock Holmes: Chapter One
73,Borderlands Legends
74,Bang Attack
75,FIFA 18
76,Dragon Quest Monsters: Joker 3
77,Ground Zero: Texas
78,Future Racer
79,Techno Cop
80,Famicom Jump II: Saikyō no Shichinin
81,Karel the Robot
82,Enemy Nations
83,Rumble Roses XX
84,11eyes: Tsumi to Batsu to Aganai no Shōjo
85,Liberator
86,Uncharted 2: Among Thieves
87,East of the Rockies
88,Disney Magical World 2
89,Naruto: The Broken Bond
90,Minit
91,Crysis 2
92,Jet Car Stunts
93,Pro Cycling Manager 2016
94,Shift
95,Marsport
96,"¡Qué pasa, NENG!"
97,Backyard Baseball 2001
98,Tails' Skypatrol
99,The Curious Expedition
100,Darkeden
101,Valtric
102,Suikoden II
103,Motos
104,Doom 3: Resurrection of Evil
105,Tetris Battle Gaiden
106,Fish Tycoon
107,Kendo Rage
108,Pool Panic
109,Sesame Street Preschool
110,"Warhammer 40,000: Sanctus Reach"
111,Etrian Odyssey Untold: The Millennium Girl
112,Football Manager
113,"Scene It? Lights, Camera, Action"
114,East Tower - Akio
115,Atelier Sophie: The Alchemist of the Mysterious Book
116,Uşas
117,Pillars of Eternity
118,Seiddab Trilogy
119,Knightshift
